cidade_origem,cidade_destino,assentos_ocupados,assentos_totais,assentos_disponiveis,dia,mes,ano
Dubai,São Luís,183,200,17,8,4,2025
Dubai,Frankfurt,158,200,42,8,4,2025
Dubai,Porto Alegre,61,100,39,8,4,2025
Roma,Toronto,76,100,24,8,4,2025
Madri,João Pessoa,89,100,11,8,4,2025
Madri,Nova York,24,100,76,8,4,2025
Lisboa,São Luís,79,100,21,8,4,2025
Lisboa,Curitiba,88,100,12,8,4,2025
Amsterdã,Palmas,31,100,69,8,4,2025
Amsterdã,Toronto,52,200,148,8,4,2025
Amsterdã,Curitiba,71,100,29,8,4,2025
Frankfurt,Porto Alegre,63,200,137,8,4,2025
Frankfurt,Roma,79,200,121,8,4,2025
Toronto,Natal,142,200,58,8,4,2025
Toronto,Los Angeles,33,100,67,8,4,2025
Buenos Aires,Brasília,67,200,133,8,4,2025
Buenos Aires,Florianópolis,50,100,50,8,4,2025
Santiago,Belo Horizonte,177,200,23,8,4,2025
Santiago,Teresina,69,200,131,8,4,2025
Santiago,São Paulo,185,200,15,8,4,2025
Lima,Porto Velho,111,200,89,8,4,2025
Lima,Paris,43,200,157,8,4,2025
Cidade do México,Frankfurt,178,200,22,8,4,2025
Cidade do México,Fortaleza,46,100,54,8,4,2025
Cidade do México,Goiânia,182,200,18,8,4,2025
Bogotá,Florianópolis,103,200,97,8,4,2025
Bogotá,Dubai,67,100,33,8,4,2025
Bogotá,Goiânia,172,200,28,8,4,2025
São Paulo,João Pessoa,49,100,51,9,4,2025
Rio de Janeiro,Buenos Aires,23,100,77,9,4,2025
Rio de Janeiro,Tóquio,156,200,44,9,4,2025
Brasília,Natal,61,100,39,9,4,2025
Belo Horizonte,Tóquio,130,200,70,9,4,2025
Belo Horizonte,Boa Vista,21,100,79,9,4,2025
Salvador,Bogotá,40,200,160,9,4,2025
Recife,Manaus,68,200,132,9,4,2025
Fortaleza,Florianópolis,118,200,82,9,4,2025
Curitiba,Rio Branco,39,100,61,9,4,2025
Porto Alegre,Vitória,54,100,46,9,4,2025
Porto Alegre,Rio de Janeiro,50,100,50,9,4,2025
Porto Alegre,Nova York,86,100,14,9,4,2025
Belém,Roma,108,200,92,9,4,2025
Belém,Paris,28,100,72,9,4,2025
Manaus,Salvador,148,200,52,9,4,2025
Florianópolis,São Paulo,58,200,142,9,4,2025
Florianópolis,Pequim,23,100,77,9,4,2025
Florianópolis,Boa Vista,68,200,132,9,4,2025
Goiânia,São Luís,58,200,142,9,4,2025
Natal,Buenos Aires,187,200,13,9,4,2025
Natal,São Paulo,101,200,99,9,4,2025
Natal,Frankfurt,92,100,8,9,4,2025
Maceió,Florianópolis,86,100,14,9,4,2025
João Pessoa,Manaus,110,200,90,9,4,2025
João Pessoa,Paris,175,200,25,9,4,2025
João Pessoa,Miami,189,200,11,9,4,2025
Aracaju,Porto Velho,54,100,46,9,4,2025
Aracaju,Bogotá,79,200,121,9,4,2025
Vitória,Londres,141,200,59,9,4,2025
Cuiabá,Vitória,62,100,38,9,4,2025
Cuiabá,Londres,92,100,8,9,4,2025
Campo Grande,João Pessoa,164,200,36,9,4,2025
Campo Grande,Fortaleza,73,100,27,9,4,2025
São Luís,Buenos Aires,62,100,38,9,4,2025
São Luís,Porto Velho,34,100,66,9,4,2025
São Luís,Cidade do México,95,200,105,9,4,2025
Teresina,Londres,74,100,26,9,4,2025
Teresina,Madri,44,100,56,9,4,2025
Palmas,Macapá,31,100,69,9,4,2025
Palmas,Natal,45,100,55,9,4,2025
Palmas,São Paulo,57,100,43,9,4,2025
Rio Branco,Porto Velho,43,100,57,9,4,2025
Rio Branco,Dubai,89,100,11,9,4,2025
Macapá,Porto Velho,119,200,81,9,4,2025
Macapá,Vitória,76,200,124,9,4,2025
Macapá,Boa Vista,39,100,61,9,4,2025
Boa Vista,Natal,136,200,64,9,4,2025
Porto Velho,Natal,39,100,61,9,4,2025
Porto Velho,Roma,138,200,62,9,4,2025
Porto Velho,Teresina,50,200,150,9,4,2025
Nova York,Dubai,58,200,142,9,4,2025
Nova York,São Paulo,53,100,47,9,4,2025
Miami,Santiago,91,200,109,9,4,2025
Los Angeles,Frankfurt,34,100,66,9,4,2025
Los Angeles,Rio Branco,44,100,56,9,4,2025
Londres,Goiânia,24,100,76,9,4,2025
Londres,Palmas,113,200,87,9,4,2025
Londres,Natal,106,200,94,9,4,2025
Paris,Tóquio,90,100,10,9,4,2025
Paris,Frankfurt,68,100,32,9,4,2025
Paris,Roma,148,200,52,9,4,2025
Tóquio,João Pessoa,147,200,53,9,4,2025
Pequim,São Luís,72,200,128,9,4,2025
Dubai,Nova York,152,200,48,9,4,2025
Dubai,Maceió,40,200,160,9,4,2025
Dubai,Lisboa,68,100,32,9,4,2025
Roma,Paris,34,100,66,9,4,2025
Roma,Belém,26,100,74,9,4,2025
Madri,Tóquio,54,200,146,9,4,2025
Madri,Bogotá,57,200,143,9,4,2025
Lisboa,Tóquio,77,100,23,9,4,2025
Lisboa,Pequim,98,200,102,9,4,2025
Amsterdã,Frankfurt,43,200,157,9,4,2025
Amsterdã,Rio Branco,88,100,12,9,4,2025
Frankfurt,Lisboa,94,200,106,9,4,2025
Toronto,Dubai,67,200,133,9,4,2025
Toronto,Santiago,125,200,75,9,4,2025
Buenos Aires,Boa Vista,32,100,68,9,4,2025
Buenos Aires,Florianópolis,120,200,80,9,4,2025
Buenos Aires,Amsterdã,21,100,79,9,4,2025
Santiago,Lisboa,83,200,117,9,4,2025
Santiago,Los Angeles,46,100,54,9,4,2025
Santiago,Manaus,154,200,46,9,4,2025
Lima,Vitória,27,100,73,9,4,2025
Lima,Miami,159,200,41,9,4,2025
Lima,Fortaleza,63,100,37,9,4,2025
Cidade do México,Londres,170,200,30,9,4,2025
Bogotá,Goiânia,116,200,84,9,4,2025
Bogotá,Roma,175,200,25,9,4,2025
Bogotá,Palmas,67,100,33,9,4,2025
São Paulo,Londres,184,200,16,10,4,2025
São Paulo,Dubai,136,200,64,10,4,2025
São Paulo,Tóquio,79,100,21,10,4,2025
Rio de Janeiro,Curitiba,26,100,74,10,4,2025
Rio de Janeiro,Florianópolis,83,100,17,10,4,2025
Brasília,Toronto,59,200,141,10,4,2025
Brasília,Porto Alegre,58,100,42,10,4,2025
Belo Horizonte,Roma,103,200,97,10,4,2025
Salvador,Brasília,79,100,21,10,4,2025
Salvador,Toronto,92,100,8,10,4,2025
Recife,Nova York,41,100,59,10,4,2025
Fortaleza,Pequim,98,200,102,10,4,2025
Fortaleza,Goiânia,44,100,56,10,4,2025
Fortaleza,Londres,54,100,46,10,4,2025
Curitiba,Maceió,51,100,49,10,4,2025
Curitiba,Macapá,89,100,11,10,4,2025
Porto Alegre,Macapá,66,100,34,10,4,2025
Belém,Florianópolis,45,200,155,10,4,2025
Belém,Amsterdã,163,200,37,10,4,2025
Manaus,Belém,94,100,6,10,4,2025
Manaus,Santiago,187,200,13,10,4,2025
Manaus,Boa Vista,87,100,13,10,4,2025
Florianópolis,Macapá,55,100,45,10,4,2025
Florianópolis,Los Angeles,108,200,92,10,4,2025
Goiânia,Londres,161,200,39,10,4,2025
Goiânia,Lisboa,125,200,75,10,4,2025
Goiânia,Buenos Aires,47,100,53,10,4,2025
Natal,Toronto,21,100,79,10,4,2025
Natal,Pequim,51,100,49,10,4,2025
Maceió,Rio de Janeiro,93,100,7,10,4,2025
Maceió,Porto Alegre,179,200,21,10,4,2025
João Pessoa,Brasília,73,100,27,10,4,2025
João Pessoa,Rio de Janeiro,109,200,91,10,4,2025
João Pessoa,Fortaleza,91,200,109,10,4,2025
Aracaju,Frankfurt,21,100,79,10,4,2025
Vitória,Buenos Aires,20,100,80,10,4,2025
Vitória,João Pessoa,21,100,79,10,4,2025
Cuiabá,Belo Horizonte,75,100,25,10,4,2025
Campo Grande,Macapá,189,200,11,10,4,2025
Campo Grande,Florianópolis,160,200,40,10,4,2025
São Luís,Rio Branco,64,100,36,10,4,2025
São Luís,Belém,70,100,30,10,4,2025
São Luís,Amsterdã,23,100,77,10,4,2025
Teresina,Rio Branco,72,100,28,10,4,2025
Teresina,Nova York,109,200,91,10,4,2025
Teresina,Porto Alegre,159,200,41,10,4,2025
Palmas,Macapá,32,100,68,10,4,2025
Palmas,Dubai,80,100,20,10,4,2025
Rio Branco,Frankfurt,97,200,103,10,4,2025
Rio Branco,Bogotá,186,200,14,10,4,2025
Rio Branco,Natal,72,100,28,10,4,2025
Macapá,Campo Grande,61,100,39,10,4,2025
Macapá,Florianópolis,106,200,94,10,4,2025
Boa Vista,Manaus,43,100,57,10,4,2025
Boa Vista,Rio de Janeiro,64,100,36,10,4,2025
Boa Vista,Frankfurt,94,100,6,10,4,2025
Porto Velho,Cuiabá,137,200,63,10,4,2025
Porto Velho,Belém,95,200,105,10,4,2025
Porto Velho,Toronto,112,200,88,10,4,2025
Nova York,Toronto,75,100,25,10,4,2025
Nova York,Rio de Janeiro,27,100,73,10,4,2025
Nova York,Frankfurt,65,100,35,10,4,2025
Miami,Aracaju,47,200,153,10,4,2025
Miami,Manaus,69,100,31,10,4,2025
Los Angeles,Macapá,62,100,38,10,4,2025
Los Angeles,Belo Horizonte,83,200,117,10,4,2025
Londres,Teresina,94,100,6,10,4,2025
Londres,Pequim,55,200,145,10,4,2025
Londres,Belo Horizonte,99,200,101,10,4,2025
Paris,Boa Vista,35,100,65,10,4,2025
Paris,Pequim,103,200,97,10,4,2025
Paris,Florianópolis,98,200,102,10,4,2025
Tóquio,Macapá,35,100,65,10,4,2025
Tóquio,Maceió,48,200,152,10,4,2025
Tóquio,Belo Horizonte,40,200,160,10,4,2025
Pequim,Lisboa,80,100,20,10,4,2025
Pequim,Teresina,65,100,35,10,4,2025
Dubai,Salvador,88,100,12,10,4,2025
Dubai,Campo Grande,41,200,159,10,4,2025
Dubai,Lisboa,90,200,110,10,4,2025
Roma,Belém,189,200,11,10,4,2025
Roma,Vitória,85,200,115,10,4,2025
Roma,João Pessoa,73,100,27,10,4,2025
Madri,Tóquio,41,100,59,10,4,2025
Lisboa,Manaus,166,200,34,10,4,2025
Amsterdã,Pequim,48,200,152,10,4,2025
Amsterdã,Natal,111,200,89,10,4,2025
Amsterdã,Porto Alegre,162,200,38,10,4,2025
Frankfurt,Toronto,148,200,52,10,4,2025
Frankfurt,Amsterdã,48,200,152,10,4,2025
Toronto,Salvador,57,200,143,10,4,2025
Toronto,Roma,52,200,148,10,4,2025
Toronto,Vitória,76,100,24,10,4,2025
Buenos Aires,Tóquio,32,100,68,10,4,2025
Buenos Aires,Dubai,83,200,117,10,4,2025
Buenos Aires,Recife,34,100,66,10,4,2025
Santiago,Porto Alegre,168,200,32,10,4,2025
Lima,Manaus,52,100,48,10,4,2025
Cidade do México,Miami,177,200,23,10,4,2025
Cidade do México,Paris,65,100,35,10,4,2025
Cidade do México,Curitiba,92,200,108,10,4,2025
Bogotá,Los Angeles,46,200,154,10,4,2025
Bogotá,Dubai,98,200,102,10,4,2025
São Paulo,Roma,83,100,17,11,4,2025
Rio de Janeiro,Madri,87,200,113,11,4,2025
Rio de Janeiro,Tóquio,119,200,81,11,4,2025
Brasília,Teresina,77,100,23,11,4,2025
Brasília,Los Angeles,52,200,148,11,4,2025
Belo Horizonte,Belém,71,100,29,11,4,2025
Salvador,Amsterdã,28,100,72,11,4,2025
Salvador,Belém,151,200,49,11,4,2025
Recife,São Luís,116,200,84,11,4,2025
Fortaleza,Natal,174,200,26,11,4,2025
Fortaleza,Curitiba,69,200,131,11,4,2025
Curitiba,Cidade do México,51,100,49,11,4,2025
Curitiba,Vitória,170,200,30,11,4,2025
Curitiba,Salvador,167,200,33,11,4,2025
Porto Alegre,Goiânia,185,200,15,11,4,2025
Porto Alegre,Brasília,90,100,10,11,4,2025
Porto Alegre,Natal,115,200,85,11,4,2025
Belém,Frankfurt,127,200,73,11,4,2025
Manaus,Paris,22,100,78,11,4,2025
Florianópolis,Londres,85,100,15,11,4,2025
Goiânia,Dubai,87,100,13,11,4,2025
Goiânia,Los Angeles,70,100,30,11,4,2025
Natal,São Paulo,43,100,57,11,4,2025
Natal,Salvador,41,200,159,11,4,2025
Natal,João Pessoa,75,100,25,11,4,2025
Maceió,São Luís,26,100,74,11,4,2025
Maceió,Santiago,100,200,100,11,4,2025
Maceió,Aracaju,22,100,78,11,4,2025
João Pessoa,Palmas,23,100,77,11,4,2025
João Pessoa,Maceió,97,200,103,11,4,2025
João Pessoa,Bogotá,29,100,71,11,4,2025
Aracaju,Santiago,38,100,62,11,4,2025
Aracaju,Maceió,162,200,38,11,4,2025
Aracaju,Lima,77,100,23,11,4,2025
Vitória,Palmas,94,100,6,11,4,2025
Cuiabá,Toronto,74,100,26,11,4,2025
Cuiabá,Los Angeles,118,200,82,11,4,2025
Campo Grande,São Paulo,75,200,125,11,4,2025
São Luís,Paris,62,200,138,11,4,2025
São Luís,Maceió,41,200,159,11,4,2025
Teresina,Los Angeles,84,100,16,11,4,2025
Palmas,Paris,65,200,135,11,4,2025
Palmas,Belém,82,200,118,11,4,2025
Rio Branco,Curitiba,142,200,58,11,4,2025
Macapá,Recife,76,200,124,11,4,2025
Boa Vista,Toronto,70,200,130,11,4,2025
Boa Vista,Santiago,80,100,20,11,4,2025
Boa Vista,Miami,67,100,33,11,4,2025
Porto Velho,Curitiba,124,200,76,11,4,2025
Porto Velho,Boa Vista,85,200,115,11,4,2025
Nova York,Recife,45,100,55,11,4,2025
Nova York,Tóquio,26,100,74,11,4,2025
Nova York,Londres,61,100,39,11,4,2025
Miami,Brasília,56,100,44,11,4,2025
Miami,Aracaju,45,100,55,11,4,2025
Los Angeles,Vitória,172,200,28,11,4,2025
Londres,Lima,90,100,10,11,4,2025
Paris,Bogotá,37,100,63,11,4,2025
Paris,Belém,130,200,70,11,4,2025
Paris,Cidade do México,45,100,55,11,4,2025
Tóquio,Londres,57,200,143,11,4,2025
Pequim,Boa Vista,54,100,46,11,4,2025
Pequim,Madri,40,200,160,11,4,2025
Dubai,Lisboa,70,100,30,11,4,2025
Roma,Macapá,170,200,30,11,4,2025
Roma,Brasília,60,200,140,11,4,2025
Madri,Curitiba,21,100,79,11,4,2025
Madri,Fortaleza,57,100,43,11,4,2025
Madri,Nova York,111,200,89,11,4,2025
Lisboa,Belo Horizonte,174,200,26,11,4,2025
Lisboa,Brasília,180,200,20,11,4,2025
Amsterdã,Rio Branco,103,200,97,11,4,2025
Frankfurt,Porto Alegre,183,200,17,11,4,2025
Frankfurt,Madri,103,200,97,11,4,2025
Frankfurt,Maceió,80,200,120,11,4,2025
Toronto,Florianópolis,130,200,70,11,4,2025
Toronto,Bogotá,150,200,50,11,4,2025
Buenos Aires,Lima,52,100,48,11,4,2025
Santiago,Amsterdã,26,100,74,11,4,2025
Lima,Manaus,27,100,73,11,4,2025
Lima,Vitória,183,200,17,11,4,2025
Cidade do México,Curitiba,88,100,12,11,4,2025
Cidade do México,Paris,94,200,106,11,4,2025
Bogotá,Brasília,91,100,9,11,4,2025
São Paulo,Teresina,116,200,84,12,4,2025
São Paulo,Florianópolis,67,100,33,12,4,2025
São Paulo,Cuiabá,46,200,154,12,4,2025
Rio de Janeiro,Teresina,88,200,112,12,4,2025
Brasília,Amsterdã,58,200,142,12,4,2025
Brasília,Vitória,93,100,7,12,4,2025
Belo Horizonte,Porto Alegre,94,100,6,12,4,2025
Salvador,São Luís,93,100,7,12,4,2025
Salvador,Vitória,39,100,61,12,4,2025
Salvador,Manaus,33,100,67,12,4,2025
Recife,Aracaju,84,200,116,12,4,2025
Recife,Rio de Janeiro,82,100,18,12,4,2025
Fortaleza,Brasília,22,100,78,12,4,2025
Fortaleza,Lima,70,100,30,12,4,2025
Curitiba,Rio Branco,34,100,66,12,4,2025
Porto Alegre,Miami,104,200,96,12,4,2025
Porto Alegre,Lima,47,200,153,12,4,2025
Porto Alegre,Madri,75,100,25,12,4,2025
Belém,Madri,55,100,45,12,4,2025
Belém,Porto Alegre,167,200,33,12,4,2025
Manaus,Madri,154,200,46,12,4,2025
Florianópolis,Dubai,50,200,150,12,4,2025
Florianópolis,Curitiba,44,100,56,12,4,2025
Florianópolis,Fortaleza,24,100,76,12,4,2025
Goiânia,Santiago,97,200,103,12,4,2025
Goiânia,Nova York,121,200,79,12,4,2025
Natal,Cidade do México,114,200,86,12,4,2025
Natal,Toronto,56,200,144,12,4,2025
Maceió,Teresina,47,100,53,12,4,2025
Maceió,Belém,39,100,61,12,4,2025
Maceió,Londres,84,100,16,12,4,2025
João Pessoa,Vitória,22,100,78,12,4,2025
João Pessoa,Cuiabá,41,100,59,12,4,2025
João Pessoa,São Paulo,22,100,78,12,4,2025
Aracaju,Dubai,108,200,92,12,4,2025
Aracaju,Florianópolis,81,100,19,12,4,2025
Aracaju,Tóquio,87,100,13,12,4,2025
Vitória,Lima,121,200,79,12,4,2025
Cuiabá,Goiânia,108,200,92,12,4,2025
Cuiabá,Macapá,154,200,46,12,4,2025
Campo Grande,Dubai,66,100,34,12,4,2025
Campo Grande,Nova York,25,100,75,12,4,2025
São Luís,Brasília,75,100,25,12,4,2025
São Luís,João Pessoa,89,200,111,12,4,2025
Teresina,Buenos Aires,107,200,93,12,4,2025
Teresina,Madri,125,200,75,12,4,2025
Palmas,Buenos Aires,94,100,6,12,4,2025
Rio Branco,Toronto,63,200,137,12,4,2025
Macapá,Porto Alegre,59,100,41,12,4,2025
Macapá,Amsterdã,44,100,56,12,4,2025
Macapá,Cidade do México,76,100,24,12,4,2025
Boa Vista,Madri,117,200,83,12,4,2025
Boa Vista,Palmas,92,100,8,12,4,2025
Porto Velho,Campo Grande,57,100,43,12,4,2025
Porto Velho,Aracaju,59,200,141,12,4,2025
Nova York,Salvador,137,200,63,12,4,2025
Nova York,Goiânia,124,200,76,12,4,2025
Miami,São Luís,120,200,80,12,4,2025
Miami,Rio Branco,181,200,19,12,4,2025
Miami,Recife,66,100,34,12,4,2025
Los Angeles,Vitória,78,200,122,12,4,2025
Los Angeles,Palmas,122,200,78,12,4,2025
Londres,Cidade do México,180,200,20,12,4,2025
Londres,Tóquio,79,200,121,12,4,2025
Paris,Fortaleza,62,100,38,12,4,2025
Paris,Nova York,64,200,136,12,4,2025
Paris,Bogotá,40,100,60,12,4,2025
Tóquio,Frankfurt,68,100,32,12,4,2025
Tóquio,Dubai,155,200,45,12,4,2025
Tóquio,Cidade do México,88,100,12,12,4,2025
Pequim,Brasília,71,100,29,12,4,2025
Dubai,Belo Horizonte,98,200,102,12,4,2025
Roma,Amsterdã,77,100,23,12,4,2025
Madri,Maceió,77,200,123,12,4,2025
Madri,Cidade do México,121,200,79,12,4,2025
Lisboa,Maceió,144,200,56,12,4,2025
Lisboa,Cuiabá,146,200,54,12,4,2025
Amsterdã,Santiago,69,100,31,12,4,2025
Amsterdã,Brasília,28,100,72,12,4,2025
Amsterdã,Dubai,73,100,27,12,4,2025
Frankfurt,Belo Horizonte,71,200,129,12,4,2025
Frankfurt,Goiânia,67,100,33,12,4,2025
Frankfurt,Rio Branco,21,100,79,12,4,2025
Toronto,Boa Vista,81,100,19,12,4,2025
Buenos Aires,Belo Horizonte,154,200,46,12,4,2025
Buenos Aires,Goiânia,68,200,132,12,4,2025
Buenos Aires,Curitiba,22,100,78,12,4,2025
Santiago,Buenos Aires,164,200,36,12,4,2025
Santiago,Salvador,53,100,47,12,4,2025
